
state,Survey,Area,Population And Household Profile - Sex Ratio At Birth For Children Born In The Last Five Years (Females Per 1000 Males),Population And Household Profile - Children Under Age 5 Years Whose Birth Was Registered (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Stunted (Height-For-Age) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Wasted (Weight-For-Height) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Severely Wasted (Weight-For-Height) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Underweight (Weight-For-Age) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under Age 3 Years Breastfed Within One Hour Of Birth (%),Child Feeding Practices And Nutritional Status Of Children - Children Under Age 6 Months Exclusively Breastfed (%),Child Feeding Practices And Nutritional Status Of Children - Breastfeeding Children Age 6-23 Months Receiving An Adequate Diet (%,Child Feeding Practices And Nutritional Status Of Children - Non-Breastfeeding Children Age 6-23 Months Receiving An Adequate Diet (%,Child Feeding Practices And Nutritional Status Of Children - Children Age 6-8 Months Receiving Solid Or Semi-Solid Food And Breastmilk (%),Child Feeding Practices And Nutritional Status Of Children - Total Children Age 6-23 Months Receiving An Adequate Diet (%
Madhya Pradesh,NFHS-3,Total,960,29.7,50,35,12.6,60,14.9,21.6,NA,NA,46,NA
Maharashtra,NFHS-4,Total,924,95.1,34.4,25.6,9.4,36,57.5,56.6,5.3,12.2,43.3,6.5
Maharashtra,NFHS-4,Rural,927,94.6,38.4,26.1,9.4,40,59.5,60.6,4.1,10,38.8,5
Maharashtra,NFHS-4,Urban,920,95.8,29.3,24.9,9.5,30.7,55,51.3,6.9,13.8,48.8,8.5
Maharashtra,NFHS-3,Total,867,80,46.3,16.5,5.2,37,51.8,53,NA,NA,45.5,NA
Odisha,NFHS-4,Total,933,82.1,34.1,20.4,6.4,34.4,68.6,65.6,8.9,5,54.9,8.5
Odisha,NFHS-4,Rural,927,80.7,35.3,20.9,6.4,35.8,68.8,65.8,8.8,5.1,54.4,8.5
Odisha,NFHS-4,Urban,966,90,27.2,17,6.3,26.2,67.6,64.3,9.4,4.7,57.5,8.9
Odisha,NFHS-3,Total,734,57,45,19.6,5.2,40.7,54.4,50.8,NA,NA,65.5,NA
Punjab,NFHS-4,Total,860,98.3,25.7,15.6,5.6,21.6,30.7,53,5.7,6.7,41.1,5.9
Punjab,NFHS-4,Rural,909,99,24.5,16.1,5.9,21.1,31.6,51.7,5,6.4,38.1,5.2
Punjab,NFHS-4,Urban,792,97.3,27.6,15,5,22.4,29.4,54.8,6.9,7.1,46.3,7
Punjab,NFHS-3,Total,963,76.8,36.7,9.2,2.1,24.9,10.3,35.7,NA,NA,50.9,NA
Rajasthan,NFHS-4,Total,887,66.6,39.1,23,8.6,36.7,28.4,58.2,3.4,3.7,30.1,3.4
Rajasthan,NFHS-4,Rural,899,62.5,40.8,23.4,8.7,38.4,28.9,57.5,3.3,3.4,28.9,3.3
Rajasthan,NFHS-4,Urban,845,81.5,33,21.6,7.9,30.7,26.6,61.3,3.5,4.7,34.7,3.8
Rajasthan,NFHS-3,Total,847,16.4,43.7,20.4,7.3,39.9,13.3,33.2,NA,NA,38.7,NA
Tamil Nadu,NFHS-4,Total,954,98.3,27.1,19.7,7.9,23.8,54.7,48.3,21.4,47.1,67.5,30.7
Tamil Nadu,NFHS-4,Rural,939,98.2,28.6,20.3,7.6,25.7,54.2,48.7,21.8,51.5,59.8,31.7
Tamil Nadu,NFHS-4,Urban,972,98.5,25.5,19,8.2,21.5,55.4,47.8,20.9,42.6,76.4,29.4
Tamil Nadu,NFHS-3,Total,896,85.8,30.9,22.2,8.9,29.8,55.2,34.1,NA,NA,81.2,NA
Telangana,NFHS-4,Total,874,82.9,28.1,18,4.8,28.5,37.1,67.3,9.6,11.4,57.1,9.9
Telangana,NFHS-4,Rural,865,76.5,33.3,20.4,5.6,33.1,35.6,66.8,5.4,13.7,56.4,6.3
Telangana,NFHS-4,Urban,884,89.9,20.9,14.6,3.7,22.2,38.8,68,14.8,9.7,57.9,13.9
Telangana,NFHS-3,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,NFHS-4,Total,903,60.2,46.3,17.9,6,39.5,25.2,41.6,5.3,5.3,32.6,5.3
Uttar Pradesh,NFHS-4,Rural,905,58.1,48.5,17.9,5.8,41,26.2,43.1,5.1,4.3,30.9,5
Uttar Pradesh,NFHS-4,Urban,896,67.9,37.9,18,6.6,33.7,21.5,35.6,6.2,7.6,39.2,6.5
Uttar Pradesh,NFHS-3,Total,922,7.1,56.8,14.8,5.1,42.4,7.2,51.3,NA,NA,41.2,NA
West Bengal,NFHS-4,Total,960,96.9,32.5,20.3,6.5,31.5,47.5,52.3,19.1,25.7,52,19.6
West Bengal,NFHS-4,Rural,984,96.7,34,21.6,6.7,33.6,47.2,49.6,19.5,17.6,54.3,19.5
